time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-10-06T10:37:13.270Z,36.381,137.539,10,4.9,mwc,82,96.9,,1.14,us,usp000j906,2014-11-07T01:46:04.522Z,"31 km W of Hotaka, Japan",earthquake,,,,,reviewed,us,gcmt
2011-12-17T08:50:37.520Z,37.379,137.266,37.5,4.6,mb,86,83.9,,0.99,us,usp000jcaq,2014-11-07T01:46:35.138Z,"near the west coast of Honshu, Japan",earthquake,,5.6,,40,reviewed,us,us
2013-04-03T16:58:13.130Z,36.757,136.79,10.7,4.6,mb,64,72.2,,0.81,us,us2013nna3,2014-11-07T01:50:30.037Z,"10 km NNE of Tsubata, Japan",earthquake,,5.4,,17,reviewed,us,us
2013-04-04T14:20:24.170Z,36.435,136.781,258.4,4.3,mb,35,85.7,,0.82,us,usp000k024,2014-11-07T01:50:30.374Z,"13 km E of Tsurugi-asahimachi, Japan",earthquake,,4.8,,23,reviewed,us,us
2014-01-24T01:43:51.070Z,36.3124,137.1893,261.64,4.1,mb,,60,0.85,0.53,us,usb000m74e,2014-03-27T18:15:37.000Z,"20 km NNW of Takayama, Japan",earthquake,,2.3,0.151,16,reviewed,us,us
2014-03-19T14:27:51.950Z,36.2994,137.3799,275.51,4,mb,,101,0.708,0.44,us,usc000nujx,2014-05-24T00:54:33.000Z,"21 km NNE of Takayama, Japan",earthquake,,8.8,0.3,5,reviewed,us,us
2014-05-03T06:26:59.810Z,36.2883,137.6696,5.73,4.4,mb,,91,0.501,1.24,us,usb000q7vu,2014-07-27T21:51:18.000Z,"19 km WSW of Hotaka, Japan",earthquake,,4.7,0.108,25,reviewed,us,us
2014-05-29T05:49:08.440Z,36.9855,136.9749,263.62,4.2,mb,,84,1.08,0.48,us,usc000rg3q,2014-08-26T01:21:03.000Z,"7 km S of Nanao, Japan",earthquake,,8.3,0.132,17,reviewed,us,us
2014-09-26T15:35:30.510Z,37.2018,136.7764,49.82,4.3,mb,,81,1.318,0.91,us,usb000sgcm,2014-12-20T00:53:59.040Z,"23 km NW of Nanao, Japan",earthquake,6.5,12.6,0.217,6,reviewed,us,us
2015-01-31T15:42:53.080Z,37.2516,137.1808,33.07,4.6,mb,,54,1.081,1.41,us,usc000tklf,2015-05-02T14:06:12.040Z,"29 km NE of Nanao, Japan",earthquake,5.4,6,0.164,12,reviewed,us,us
2015-03-01T19:21:56.240Z,36.6669,137.5007,242.98,4.7,mb,,49,0.578,0.53,us,usc000tu9b,2015-05-19T00:29:28.040Z,"12 km ESE of Kamiichi, Japan",earthquake,4.7,6.6,0.086,43,reviewed,us,us
2015-06-01T16:30:52.030Z,36.4097,137.3473,242.06,4.1,mb,,33,0.703,0.62,us,us20002pb6,2015-08-08T00:49:48.040Z,"25 km SE of Yatsuomachi-higashikumisaka, Japan",earthquake,7.4,5.9,0.145,13,reviewed,us,us
2015-11-17T10:15:51.340Z,37.155,137.1196,265.91,4.1,mb,,34,1.061,0.51,us,us10003yx8,2016-02-13T02:08:26.040Z,"17 km NE of Nanao, Japan",earthquake,7.6,6.8,0.1,27,reviewed,us,us
2016-02-03T12:28:42.110Z,36.4034,137.7014,10,4.2,mb,,73,0.429,0.87,us,us20004wta,2016-04-14T22:51:42.040Z,"17 km WNW of Hotaka, Japan",earthquake,4.5,1.9,0.136,16,reviewed,us,us
2016-05-31T23:56:47.000Z,37.2645,137.0125,264.75,4.2,mb,,42,1.194,0.65,us,us20005zhh,2016-08-10T22:30:30.040Z,"24 km N of Nanao, Japan",earthquake,8.2,7.1,0.081,42,reviewed,us,us
2017-10-11T23:21:46.380Z,36.3799,137.1519,253.39,4,mb,,75,0.864,0.58,us,us1000au6q,2018-01-09T02:14:56.040Z,"20 km S of Yatsuomachi-higashikumisaka, Japan",earthquake,9,4.1,0.196,7,reviewed,us,us
2020-03-12T17:18:46.197Z,37.2745,136.878,10,5.3,mww,,33,1.287,0.9,us,us60008egj,2020-05-30T22:17:04.040Z,"26 km NNW of Nanao, Japan",earthquake,5,1.7,0.068,21,reviewed,us,us
2020-05-13T01:28:33.501Z,36.2687,137.6321,10,4.4,mb,,89,0.537,0.77,us,us70009f48,2020-08-02T00:32:32.040Z,"23 km WSW of Hotaka, Japan",earthquake,3.1,1.9,0.102,28,reviewed,us,us
2020-05-19T04:12:59.967Z,36.2846,137.6865,10,5.2,mww,,51,0.492,0.57,us,us70009kd9,2020-08-02T00:28:27.040Z,"18 km WSW of Hotaka, Japan",earthquake,6,1.8,0.061,26,reviewed,us,us
2020-07-04T19:10:01.654Z,36.3437,137.5423,3.78,4.4,mwr,,80,0.57,0.88,us,us7000akt6,2020-09-11T22:14:12.040Z,"30 km W of Hotaka, Japan",earthquake,2,2.7,0.069,20,reviewed,us,us
2020-09-01T17:49:57.974Z,36.4274,136.7322,8.21,4.5,mwr,,33,0.964,0.75,us,us7000bfyn,2020-11-07T18:48:45.040Z,"9 km ESE of Tsurugi-asahimachi, Japan",earthquake,3.7,3.5,0.086,13,reviewed,us,us
2021-07-17T09:07:51.407Z,36.3146,137.6439,10,4.2,mb,,103,0.507,0.72,us,us6000ey0w,2021-09-25T21:07:57.040Z,"21 km W of Hotaka, Japan",earthquake,3.5,1.9,0.215,7,reviewed,us,us
2021-09-16T09:42:29.509Z,37.4707,137.2472,10,4.9,mww,,53,1.199,0.8,us,us7000fbrh,2021-11-23T15:13:06.040Z,"52 km NNE of Nanao, Japan",earthquake,2.6,1.8,0.073,18,reviewed,us,us
2021-09-19T10:04:17.724Z,36.276,137.6419,6.46,4.2,mb,,91,0.527,0.51,us,us7000fcmn,2021-12-03T15:01:32.040Z,"22 km WSW of Hotaka, Japan",earthquake,4.7,4,0.115,21,reviewed,us,us
2021-10-03T02:10:58.810Z,37.4618,137.1153,10,4.4,mb,,89,1.263,0.86,us,us6000fsnf,2021-12-10T21:14:19.040Z,"47 km NNE of Nanao, Japan",earthquake,5.2,1.5,0.131,19,reviewed,us,us
2022-01-21T12:10:40.801Z,36.5871,137.4237,228.38,4,mb,,68,0.629,0.71,us,us7000gdue,2022-04-01T17:40:24.040Z,"13 km SSE of Kamiichi, Japan",earthquake,6.4,4.7,0.092,32,reviewed,us,us
2022-03-07T16:58:49.038Z,37.5263,137.2804,5.84,4.8,mww,,53,1.226,0.59,us,us6000h2s5,2022-05-14T21:52:21.040Z,"59 km NNE of Nanao, Japan",earthquake,2.6,3.5,0.066,22,reviewed,us,us
2022-03-23T00:23:55.674Z,37.4502,137.312,10,4.5,mb,,88,1.151,0.8,us,us6000h6un,2022-05-28T18:35:26.040Z,"53 km NE of Nanao, Japan",earthquake,4.5,1.3,0.065,69,reviewed,us,us
2022-04-02T13:42:24.470Z,36.5987,137.6716,202.8,4.5,mb,,71,0.431,0.81,us,us7000h0dw,2022-06-11T20:21:10.040Z,"20 km WSW of Hakuba, Japan",earthquake,9.1,5.7,0.163,11,reviewed,us,us
2022-04-04T01:26:23.745Z,37.4917,137.1864,10,4.4,mb,,88,1.246,0.71,us,us7000h0nf,2022-06-11T20:21:14.040Z,"52 km NNE of Nanao, Japan",earthquake,6.2,0.9,0.126,18,reviewed,us,us
2022-04-08T13:04:56.676Z,37.4838,137.229,9.75,4.4,mb,,88,1.218,0.43,us,us7000h0pv,2022-06-11T20:21:15.040Z,"53 km NNE of Nanao, Japan",earthquake,5.9,3.6,0.072,55,reviewed,us,us
